Andromeda	10.0000	38.0000
Antlia	150.0000	-35.0000
Apus	240.0000	-76.0000
Aquarius	335.0000	-13.0000
Aquila	292.5000	2.0000
Ara	257.5000	-55.0000
Aries	37.5000	20.0000
Auriga	90.0000	42.0000
Bootes	218.7500	30.0000
Caelum	72.5000	-38.0000
Camelopardalis	85.0000	70.0000
Cancer	127.5000	20.0000
Canes Venatici	195.0000	40.0000
Canis Major	100.0000	-24.0000
Canis Minor	112.5000	6.0000
Capricornus	312.5000	-20.0000
Carina	130.0000	-60.0000
Cassiopeia	15.0000	60.0000
Centaurus	200.0000	-47.0000
Cepheus	330.0000	70.0000
Cetus	26.2500	-12.0000
Chamaeleon	160.0000	-78.0000
Circinus	222.5000	-63.0000
Columba	85.0000	-34.0000
Coma Berenices	190.0000	23.0000
Corona Austrina	277.5000	-41.0000
Corona Borealis	235.0000	30.0000
Corvus	185.0000	-18.0000
Crater	170.0000	-15.0000
Crux	185.0000	-60.0000
Cygnus	307.5000	43.0000
Delphinus	310.0000	12.0000
Dorado	75.0000	-60.0000
Draco	255.0000	60.0000
Equules	317.5000	6.0000
Eridanus	57.5000	-30.0000
Fornax	37.5000	-33.0000
Gemini	105.0000	22.0000
Grus	335.0000	-47.0000
Hercules	257.5000	27.0000
Horologium	50.0000	-52.0000
Hydra	157.5000	-20.0000
Hydrus	40.0000	-70.0000
Indus	320.0000	-58.0000
Lacerta	336.2500	43.0000
Leo	157.5000	15.0000
Leo Minor	155.0000	33.0000
Lepus	81.2500	-20.0000
Libra	227.5000	-14.0000
Lupus	225.0000	-40.0000
Lynx	117.5000	45.0000
Lyra	281.2500	36.0000
Mensa	85.0000	-77.0000
Microscopium	312.5000	-37.0000
Monoceros	105.0000	-3.0000
Musca	187.5000	-70.0000
Norma	240.0000	-50.0000
Octans	315.0000	-87.0000
Ophiuchus	257.5000	-5.0000
Orion	80.0000	3.0000
Pavo	287.5000	-65.0000
Pegasus	337.5000	17.0000
Perseus	50.0000	42.0000
Phoenix	15.0000	-48.0000
Pictor	82.5000	-52.0000
Pisces	5.0000	10.0000
Piscis Austrinus	332.5000	-32.0000
Puppis	115.0000	-32.0000
Pyxis	132.5000	-28.0000
Reticulum	57.5000	-63.0000
Sagitta	295.0000	18.0000
Sagittarius	285.0000	-25.0000
Scorpius	247.5000	-26.0000
Sculptor	0.7500	-35.0000
Scutum	278.7500	-10.0000
Serpens(Caput)	233.7500	10.0000
Serpens(Cauda)	270.0000	-5.0000
Sextans	152.5000	-1.0000
Taurus	67.5000	18.0000
Telescopium	285.0000	-52.0000
Triangulum	30.0000	32.0000
Triangulum Austrinus	235.0000	-65.0000
Tucana	356.2500	-68.0000
Ursa Major	165.0000	58.0000
Ursa Minor	235.0000	78.0000
Vela	142.5000	-45.0000
Virgo	200.0000	-2.0000
Volans	115.0000	-69.0000
Vulpecula	302.5000	25.0000
