RA	DEC	MAG
0.00500795	38.85928608	6.61
0.05331696	38.30408636	6.69
0.07936537	-44.29029741	6.42
0.09946973	26.91823821	6.55
0.12908900	59.55973786	6.35
0.14287059	-53.09766277	6.62
0.18174950	45.25333305	6.35
0.26915958	-48.80985919	5.87
0.31601620	60.35529798	6.97
0.33016464	49.98158501	6.39
0.33380226	-50.33739907	5.62
0.39020229	44.67544581	6.98
0.39647681	28.42377416	7.00
0.39937928	-77.06529438	4.94
0.40424537	61.22280406	5.67
0.41376473	73.61187664	6.56
0.42336890	-40.14866597	6.74
0.42864226	24.25318080	6.76
0.43268925	42.36714821	6.24
0.45598912	-3.02747891	5.08
0.48996506	-6.01397169	4.41
0.54018776	27.08448905	5.87
0.57381667	60.70319460	6.80
0.58297574	-29.72044805	4.99
0.60069792	8.95683360	6.39
0.62398938	8.48557854	5.78
0.65034249	66.09896341	6.04
0.73927410	-20.04607402	6.37
0.78257245	-24.14513788	6.62
0.78466955	42.74791705	6.75
0.80532807	17.55239698	6.76
0.85715406	63.64052431	6.33
0.92444478	48.43692667	6.83
0.93488487	-17.33597002	4.54
0.96511407	66.71220273	6.35
1.05693212	62.28766460	5.97
1.08233885	-16.52888969	5.96
1.08457463	-29.26883006	6.39
1.12550980	-10.50949443	5.10
1.15248379	42.09256148	6.16
1.17188841	-71.43685835	5.56
1.17432297	67.16638761	5.85
1.22172791	34.65955259	6.23
1.22902690	58.53217392	6.62
1.23302998	26.64879958	6.39
1.25472644	27.67479979	6.63
1.26581912	-0.50290553	6.48
1.27555231	61.31396468	5.78
1.29075302	45.22907883	6.72
1.30417878	35.57110311	6.94
1.33394073	-5.70783255	4.78
1.42473238	13.39628227	5.71
1.50224247	28.27696051	6.74
1.51773179	40.41853643	6.81
1.56474395	58.43668966	6.11
1.57776340	-49.07509405	5.82
1.61052855	64.19616859	5.57
1.64810682	28.55343687	6.85
1.65221045	29.02193518	6.21
1.70843563	-23.10742543	6.28
1.82613856	-17.38703103	6.25
1.90808924	40.14799609	6.89
1.92048929	-65.93227482	6.99
1.93373158	-2.54868621	6.40
1.94523194	-22.50847542	5.98
2.01465535	-33.52933371	5.84
2.05038298	-2.44769895	6.32
2.07313617	-8.82402541	6.16
2.09653333	29.09082805	2.04
2.13694986	63.20404897	6.57
2.13953227	-17.57804019	6.20
2.17092314	36.62742794	6.32
2.20832630	40.49456869	6.93
2.21695394	25.46285169	6.41
2.25065511	28.24755645	6.54
2.25974230	18.21202529	5.73
2.25978189	-54.00196301	6.46
2.29204036	59.15021814	2.36
2.33262025	79.71464113	6.08
2.33758620	-27.98790390	5.51
2.35224949	-45.74698836	4.05
2.46706528	-62.29683686	6.40
2.47924356	-2.56122960	6.95
2.50910252	11.14580908	5.52
2.50945435	-82.22399743	5.45
2.57853868	-5.24851713	6.01
2.58017518	46.07227117	5.12
2.62358027	57.16549747	6.71
2.63506952	33.13088570	6.96
2.64438297	59.67341444	6.71
2.65962298	-73.22443438	6.74
2.67810574	-12.57980381	6.02
2.78289623	57.58791462	6.85
2.79012709	-3.32135959	6.91
2.81628415	-15.46732287	5.00
2.89340430	-27.79977820	5.58
2.93286698	-35.13339606	5.34
2.98385733	-42.17203471	6.70
2.99596734	48.15237121	6.31
3.00550041	23.47174032	6.74
3.01259645	-13.81313737	6.73
3.03354264	53.62391762	6.94
3.04145374	-17.93821766	5.41
3.14201623	44.70724772	6.67
3.19984759	46.09543717	6.72
3.20935172	37.69366311	6.68
3.26630969	-22.47020965	6.83
3.28963960	16.92165199	6.69
3.30266797	62.04092419	6.70
3.30895828	15.18361593	2.75
3.33145220	-84.99402068	5.85
3.34972158	26.98762497	6.38
3.37889713	41.03572671	5.79
3.42591849	-26.02215399	6.06
3.43491480	-26.28498303	6.27
3.44829323	1.38362257	6.95
3.50952703	33.20608481	6.23
3.56129370	-55.06959061	6.77
3.58669233	-62.77197869	6.70
3.61496786	-7.78053784	5.18
3.64038545	41.03258105	6.85
3.65045047	20.20669720	4.88
3.66013628	-18.93268628	4.53
3.66828731	-14.80514201	6.79
3.70105117	-14.17758298	6.89
3.72708897	-9.56955053	5.75
3.73247890	-3.02735083	6.76
3.73279426	22.28425185	6.26
3.74253202	-34.90419374	6.32
3.74492370	8.82102280	6.10
3.77886512	31.53573771	6.46
3.79397762	27.28347715	6.36
3.82428012	44.20339841	6.76
3.97863172	61.00019736	6.58
3.97890167	-75.91160944	6.65
4.03660680	-31.44632821	5.81
4.04683817	-79.85104079	6.72
4.05785281	76.95076267	6.35
4.08958566	43.59510616	6.15
4.14190528	8.24018997	6.28
4.16425082	1.85057729	6.98
4.17534757	-32.68837302	6.84
4.17644820	-20.21005714	6.47
4.19031758	10.24475802	6.50
4.20080442	-78.78009243	6.88
4.22329974	-52.65159230	6.97
4.22488512	49.46192856	6.57
4.23771177	61.53319397	5.90
4.27306518	38.68167915	4.63
4.28766746	47.94741495	5.84
4.35209754	8.87633388	6.78
4.38621007	-19.05108585	6.55
4.42944015	51.43309422	6.06
4.44852220	1.68870485	6.35
4.46346784	20.22702318	6.93
4.48462707	12.77151352	6.71
4.49430346	-13.45563887	6.63
4.53829434	46.21435458	6.98
4.57061289	-21.13845530	6.70
4.57193855	11.20628336	6.24
4.57672776	-36.50989445	6.83
4.58210555	36.78532730	4.54
4.65924059	31.51723388	5.88
4.67342336	-8.05265094	6.60
4.67562512	43.79114781	6.08
4.67717473	-43.23557050	6.49
4.85701265	-8.82382948	3.73
4.92324681	40.72950687	6.51
4.98451465	16.25090005	6.76
5.00797581	-64.87762320	4.34
5.01220748	-17.70041723	6.89
5.02110167	6.29261994	6.94
5.02153822	48.86548463	6.56
5.10163324	30.93561514	5.86
5.12884068	48.96864118	6.59
5.14214023	56.55696240	6.88
5.14943435	8.19024803	5.54
5.16267858	-69.62491154	5.50
5.18151870	61.87959637	6.85
5.18974442	32.91122853	5.90
5.20240471	-23.63022915	6.86
5.22549183	32.97816304	6.96
5.22755274	10.97696797	6.60
5.28010785	37.96869954	5.26
5.36976160	-77.42685699	6.10
5.37990144	-28.98129509	5.34
5.42684242	67.82302547	6.71
5.44264511	-20.05799253	5.44
5.58840740	-50.99260286	6.85
5.60602210	13.48243411	6.41
5.69984257	-39.26235447	6.83
5.71480399	-12.20958506	6.52
5.73901787	38.75427442	6.73
5.76813086	-15.94261714	6.52
5.80247078	-31.03578185	6.54
5.84219107	-29.84715760	6.87
5.97214938	60.96163429	6.66
6.02196922	44.26474444	6.76
6.06518443	52.01992467	5.55
6.12362201	-2.21896140	6.24
6.15894159	14.31552048	6.64
6.16530026	31.37308234	6.75
6.18462337	-51.04324736	6.94
6.19786908	61.83106347	5.39
6.27660700	53.04678501	5.71
6.35090309	1.93972374	5.93
6.41334183	-77.25503511	2.93
6.42395970	54.99421180	6.89
6.42453618	7.69123126	6.93
6.46350133	71.80712256	6.91
6.51535429	20.14683498	6.67
6.55042158	56.77934000	6.83
6.55048418	-43.67990933	3.99
6.56869008	3.82575470	6.86
6.57028075	-42.30512197	2.55
6.59057887	-18.69360316	6.32
6.65572204	-0.04953631	6.36
6.66437705	56.64120708	6.60
6.76878613	25.04210825	6.77
6.78045098	80.05214787	6.51
6.80185931	49.98572998	6.95
6.81119663	-25.54713325	6.15
6.87922939	16.02545897	6.51
6.90640824	-20.13453647	6.85
6.98213606	-33.00704460	4.90
6.99366564	19.51408099	6.56
7.00218240	-11.65876340	6.84
7.01185234	17.89307501	5.03
7.05288647	16.44510093	6.17
7.05660466	44.39448925	5.20
7.05893751	-29.04020581	6.91
7.08346734	10.19034140	6.15
7.08820670	-20.33477667	6.56
7.11007309	-39.91490183	5.53
7.11912255	32.43779213	6.91
7.13813952	-11.23721888	6.98
7.17908720	-50.53284634	6.43
7.23610470	36.89970105	6.45
7.34634974	-40.66541214	6.97
7.45413735	-32.11592585	6.74
7.46586901	-14.86402653	6.24
7.50980355	-3.95729662	5.83
7.53056566	29.75169567	5.28
7.53623440	4.86007602	6.62
7.58297373	59.97756400	5.95
7.59446346	-23.78771429	5.22
7.60822774	-48.21469821	5.75
7.61594916	-40.93962515	6.27
7.62194565	-39.51835788	6.77
7.69654001	16.03761493	6.88
7.72581643	77.01948785	6.34
7.74962079	-10.08465275	6.94
7.76615099	55.70282110	6.74
7.80376689	43.94655192	6.74
7.85356695	-48.80356171	4.77
7.85500767	66.51962673	6.15
7.85668759	33.58168169	6.04
7.88566992	-62.95808549	4.33
7.88898014	-62.96544985	4.55
7.92171234	52.83955844	5.76
7.94299136	54.52232473	4.71
7.97866946	19.64295811	6.98
8.05851728	34.99394306	6.80
8.09897908	6.95545461	5.70
8.11160979	43.49481723	6.70
8.13301412	18.79507188	6.91
8.14402839	27.58077717	6.71
8.14750345	20.29443334	5.55
8.16412581	-25.35958222	6.89
8.18005439	38.84382562	6.98
8.18247614	-63.03137868	5.09
8.20454088	28.28022584	6.43
8.24994391	62.93178781	4.21
8.29301467	54.89508062	6.09
8.33001511	70.98184763	6.42
8.34677242	-71.26621472	6.19
8.42108802	-29.55820696	5.71
8.43270424	-35.00082229	6.54
8.54482241	10.29958061	6.92
8.58088296	-42.43128561	6.94
8.60369264	66.75035211	6.46
8.60475192	-45.42586849	6.95
8.61506261	-52.37318294	5.68
8.73086587	13.37126922	6.56
8.79013047	36.83227188	6.71
8.81100390	-3.59275785	5.32
8.87108274	54.20349001	6.99
8.88645754	-0.50545908	6.04
8.88881583	-54.82174811	6.21
8.92139531	-48.00066027	5.61
8.97867189	13.20750244	6.43
9.00332958	-59.71719483	7.00
9.00717370	-5.57045671	6.82
9.01331466	-14.97289122	6.61
9.02876061	-22.84221094	6.14
9.03453140	54.16845384	5.05
9.08370140	27.25479152	6.49
9.11392475	60.32621728	5.87
9.15663761	-65.12442483	6.59
9.15680392	-49.13200111	6.92
9.19362920	44.48850971	5.26
9.19395809	54.95739709	6.91
9.19713232	15.23175994	5.83
9.20682003	-76.30957103	6.81
9.22016239	33.71935227	4.31
9.24277921	53.89693161	3.61
9.28000597	24.01424837	6.35
9.32573293	-54.39380980	6.56
9.33244613	-24.76722545	5.71
9.33844167	35.39951013	5.59
9.36004985	40.33238095	6.86
9.37682692	3.13549746	6.57
9.44035009	72.89485477	6.97
9.51902891	-0.50350326	6.80
9.63263751	-20.29659798	6.69
9.63935774	60.32478527	6.91
9.63958024	29.31236900	4.50
9.66940318	-73.13763182	6.91
9.67335193	46.95682893	6.89
9.70310992	-25.10776606	6.55
9.70521269	59.82616136	6.73
9.79119583	49.35459528	5.56
9.79683421	-57.96778762	6.91
9.83165567	30.86122579	3.43
9.84206107	21.25137390	6.03
9.90895997	-85.70084431	6.97
9.93184864	-11.15047993	6.93
9.94897859	82.49357470	6.50
9.96631161	-44.79633326	6.17
9.98147468	21.43856440	5.55
9.98996521	-33.96118617	6.79
9.99780503	76.87117021	6.90
10.10273354	-59.45568115	6.02
10.11898738	-16.51659767	6.65
10.12661349	56.53740928	2.41
10.13501584	-23.80399309	6.28
10.13886688	-29.42087891	6.91
10.17658814	-4.35180551	6.07
10.27998074	39.45867141	5.46
10.29977784	9.35530818	6.64
10.30310097	52.19773368	6.78
10.33156671	-46.08500934	4.76
10.39362990	-25.19645782	6.71
10.39989696	24.62906534	6.14
10.44292464	-56.50145475	5.77
10.51431560	66.14761311	6.00
10.51618425	50.51254151	4.77
10.56045187	-11.80479985	6.93
10.61790472	-65.46813002	5.49
10.62920567	58.75343124	6.19
10.65830916	52.33716162	6.97
10.67349903	-60.26268184	6.15
10.67870812	-38.46346745	6.05
10.71149682	-9.92163939	6.75
