RA	DEC	MAG	DIST	B-V
0.00379737	-19.49883745	9.40	45.66	0.999
0.11104694	-79.06183133	8.79	41.95	0.778
0.13519236	-56.83524773	10.84	40.90	1.150
0.15165558	17.96895579	10.70	47.69	1.030
0.16828557	-69.67580068	8.41	29.51	0.863
0.17376341	62.17600484	7.16	38.37	0.520
0.20063628	16.98896499	8.93	31.45	0.940
0.22187281	35.75272213	10.08	41.29	1.068
0.24386443	-4.93211471	8.71	42.68	0.642
0.34870816	39.61081788	8.72	48.97	0.787
0.34908697	34.28185977	11.41	36.89	1.308
0.35691658	-16.94782618	10.85	31.90	1.384
0.42674592	-0.21749947	8.77	49.75	0.620
0.45518210	21.46213750	10.46	49.88	1.033
0.47868501	26.00557721	11.37	43.63	0.932
0.53502093	-68.28020594	9.34	15.87	1.390
0.54018776	27.08448905	5.87	12.40	0.690
0.58977565	11.00634091	8.62	33.61	0.888
0.61228711	-46.02884131	12.70	43.52	1.490
0.62398938	8.48557854	5.78	37.69	0.315
0.69641117	2.13037640	7.29	46.34	0.617
0.82923787	4.68713578	12.13	30.37	1.473
0.92207847	-28.39584776	8.40	39.54	0.780
0.97206281	-28.39376930	7.81	48.92	0.741
1.09930910	-57.32287483	10.54	47.30	1.100
1.10262290	-47.06812971	9.94	44.40	0.855
1.22172791	34.65955259	6.23	36.79	0.632
1.23366004	23.26964739	7.96	25.60	0.755
1.24427458	-70.21220744	8.27	45.27	0.710
1.28166779	-52.15142338	7.66	41.84	0.577
1.29233645	45.78693438	10.00	11.50	1.472
1.32445343	-67.83122670	8.60	16.01	1.076
1.33394073	-5.70783255	4.78	39.40	1.029
1.33455564	-37.35168110	8.62	4.36	1.462
1.36976446	22.22467477	9.27	45.05	0.735
1.41782275	45.81245496	8.29	11.75	1.410
1.42333268	58.31365552	8.35	47.55	0.636
1.46861724	-41.75288210	7.64	40.24	0.595
1.47850515	18.23536692	7.58	38.11	0.596
1.48151411	18.07622626	8.72	38.80	0.920
1.56474395	58.43668966	6.11	20.28	0.687
1.57776340	-49.07509405	5.82	25.64	0.519
1.57876020	-65.83919547	12.22	17.57	1.550
1.65221045	29.02193518	6.21	13.70	0.752
1.70843563	-23.10742543	6.28	39.08	0.386
1.84336535	-25.35632439	7.16	48.47	0.463
1.88473813	-23.81894320	8.84	32.51	0.798
1.96614972	55.57701937	7.95	45.81	0.610
2.06820906	-14.82446576	7.17	27.64	0.624
2.09653333	29.09082805	2.04	29.76	-0.038
2.10705914	6.61680730	7.73	39.76	0.626
2.11390101	17.42445447	10.88	21.91	1.460
2.17092314	36.62742794	6.32	33.05	0.504
2.23740813	66.45664771	8.71	31.91	0.885
2.26145881	27.65123946	11.86	44.44	1.260
2.26626900	-27.12235235	11.79	23.35	1.493
2.29204036	59.15021814	2.36	16.70	0.380
2.31514306	25.28231728	7.92	45.31	0.680
2.35224949	-45.74698836	4.05	42.96	1.013
2.43155816	-31.82493921	9.67	41.91	0.965
2.76858844	-5.78399441	10.91	25.52	1.418
2.76870081	5.20868148	11.65	41.12	1.395
2.81628415	-15.46732287	5.00	18.89	0.487
2.83702751	58.34986270	9.60	28.02	1.254
2.84289740	30.44948927	8.09	34.07	0.755
2.87859206	-49.62920981	9.12	47.94	0.807
2.89828655	7.12150984	10.18	45.72	1.293
2.89853096	-57.47238652	9.18	36.42	0.891
2.90614540	10.32845614	8.74	48.66	0.643
2.92120675	-39.22963982	10.08	34.31	1.071
2.93286698	-35.13339606	5.34	21.81	0.459
3.01599223	27.09915401	8.87	25.72	1.045
3.12549160	14.56369614	8.58	40.50	0.739
3.13675616	-30.85929019	8.81	47.42	0.743
3.13913761	21.71414164	11.81	28.95	1.480
3.20991289	-57.91269485	7.37	20.33	0.775
3.26092514	-45.17634037	10.86	36.36	1.308
3.28763586	20.38241602	10.52	40.06	1.360
3.31099304	69.32759224	12.58	26.81	1.400
3.35151982	19.07164311	9.99	35.34	1.190
3.37179173	-36.82792674	10.85	27.22	1.444
3.37844842	-40.35838520	9.19	33.33	0.913
